facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(3V23) (437GI) Grand Forks, ND",,802,,797,,99.38%,,5,,0.62%,,747,,37,,13,,4,,1,,0,,0,,1.06,,3.11,,1.64,,,
"(3V23) (437GJ) Dickinson, ND",,440,,440,,100.00%,,0,,0.00%,,429,,9,,2,,0,,0,,0,,0,,0.52,,0.48,,1.4,,,
"(3V23) (437GK) Jamestown, ND",,317,,315,,99.37%,,2,,0.63%,,312,,3,,0,,2,,0,,0,,0,,0.82,,0.74,,0.65,,,
"(3V23) (437GL) Devils Lake, ND",,163,,163,,100.00%,,0,,0.00%,,161,,2,,0,,0,,0,,0,,0,,0.3,,1.5,,0.29,,,
"(3V23) (438) Sioux Falls, SD HCS",,"17,161",,"16,641",,96.97%,,520,,3.03%,,"15,072",,808,,761,,401,,80,,22,,17,,2.57,,4.71,,3.01,,,
"(3V23) (438) Sioux Falls, SD (Royal C. Johnson)",,"13,162",,"12,724",,96.67%,,438,,3.33%,,"11,455",,637,,632,,330,,73,,18,,17,,3.03,,4.89,,2.4,,,
"(3V23) (438GA) Spirit Lake, IA",,921,,906,,98.37%,,15,,1.63%,,811,,46,,49,,10,,3,,2,,0,,3.12,,2.33,,5.36,,,
"(3V23) (438GC) Sioux City, SD",,"1,599",,"1,574",,98.44%,,25,,1.56%,,"1,476",,60,,38,,22,,2,,1,,0,,1.46,,2.79,,4.88,,,
"(3V23) (438GD) Aberdeen, SD",,634,,617,,97.32%,,17,,2.68%,,570,,31,,16,,15,,2,,0,,0,,2.64,,2.74,,2.67,,,
"(3V23) (438GE) Wagner, SD",,205,,199,,97.07%,,6,,2.93%,,178,,17,,4,,6,,0,,0,,0,,3.44,,0,,2.71,,,
"(3V23) (438GF) Watertown, SD",,640,,621,,97.03%,,19,,2.97%,,582,,17,,22,,18,,0,,1,,0,,0.65,,5.86,,3.09,,,
"(3V23) (568) Black Hills, SD HCS",,"10,590",,"10,084",,95.22%,,506,,4.78%,,"8,762",,614,,708,,353,,93,,34,,26,,5.18,,8.69,,2.56,,,
"(3V23) (568) Fort Meade, SD",,"5,191",,"4,922",,94.82%,,269,,5.18%,,"4,254",,324,,344,,187,,53,,19,,10,,3.75,,8.55,,2.32,,,
"(3V23) (568A4) Hot Springs, SD",,"2,699",,"2,577",,95.48%,,122,,4.52%,,"2,260",,118,,199,,74,,21,,11,,16,,10.32,,8.28,,3.4,,,
"(3V23) (568GA) Rapid City, SD",,"2,094",,"1,990",,95.03%,,104,,4.97%,,"1,714",,138,,138,,85,,15,,4,,0,,5.36,,10.04,,2.59,,,
"(3V23) (568GB) Pierre, SD",,142,,141,,99.30%,,1,,0.70%,,130,,9,,2,,1,,0,,0,,0,,1.37,,17.5,,0.2,,,
"(3V23) (568HA) Newcastle, WY",,17,,16,,94.12%,,1,,5.88%,,14,,1,,1,,0,,1,,0,,0,,9.5,,,,0,,,
"(3V23) (568HB) Gordon, NE",,17,,17,,100.00%,,0,,0.00%,,17,,0,,0,,0,,0,,0,,0,,0.76,,,,,,,
"(3V23) (568HF) Pine Ridge, SD",,9,,9,,100.00%,,0,,0.00%,,9,,0,,0,,0,,0,,0,,0,,1,,,,0,,,
"(3V23) (568HH) Scottsbluff, NE",,305,,296,,97.05%,,9,,2.95%,,249,,24,,23,,6,,3,,0,,0,,5.47,,28,,1.42,,,
"(3V23) (568HJ) Mission, SD",,29,,29,,100.00%,,0,,0.00%,,29,,0,,0,,0,,0,,0,,0,,0,,,,,,,
"(3V23) (568HP) Winner, SD",,87,,87,,100.00%,,0,,0.00%,,86,,0,,1,,0,,0,,0,,0,,0.37,,,,0,,,
"(3V23) (618) Minneapolis, MN HCS",,"57,483",,"54,245",,94.37%,,"3,238",,5.63%,,"46,224",,"3,741",,"4,280",,"2,307",,498,,216,,217,,5.59,,9.35,,3.45,,,
"(3V23) (618) Minneapolis, MN",,"41,500",,"38,944",,93.84%,,"2,556",,6.16%,,"32,764",,"2,771",,"3,409",,"1,931",,366,,120,,139,,5.68,,9.52,,2.71,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(3V23) (618BY) Twin Ports, WI",,"2,855",,"2,652",,92.89%,,203,,7.11%,,"2,284",,214,,154,,101,,43,,25,,34,,3.79,,13.25,,10.4,,,
"(3V23) (618GA) St. James, MN",,228,,222,,97.37%,,6,,2.63%,,202,,8,,12,,6,,0,,0,,0,,3.91,,3,,0.1,,,
"(3V23) (618GB) Hibbing, MN",,969,,953,,98.35%,,16,,1.65%,,761,,97,,95,,13,,0,,1,,2,,6.21,,9.76,,2.41,,,
"(3V23) (618GD) Maplewood, MN",,"2,067",,"1,996",,96.57%,,71,,3.43%,,"1,694",,122,,180,,59,,12,,0,,0,,4.63,,8.13,,0.41,,,
"(3V23) (618GE) Chippewa Valley, WI",,"1,415",,"1,204",,85.09%,,211,,14.91%,,"1,076",,62,,66,,73,,44,,56,,38,,22.55,,10.34,,2.27,,,
"(3V23) (618GG) Rochester, MN",,"1,390",,"1,373",,98.78%,,17,,1.22%,,"1,258",,70,,45,,10,,5,,2,,0,,2.02,,6.46,,3.58,,,
"(3V23) (618GH) Hayward, WI",,214,,206,,96.26%,,8,,3.74%,,183,,13,,10,,7,,1,,0,,0,,4.4,,23.43,,0.41,,,
"(3V23) (618GI) Northwest Metro, MN",,"3,008",,"2,925",,97.24%,,83,,2.76%,,"2,536",,220,,169,,64,,11,,5,,3,,3.48,,5.57,,5.44,,,
"(3V23) (618GJ) Shakopee, MN",,666,,654,,98.20%,,12,,1.80%,,594,,37,,23,,9,,3,,0,,0,,2.14,,1.56,,4.81,,,
"(3V23) (618GK) Albert Lea, MN",,487,,478,,98.15%,,9,,1.85%,,431,,21,,26,,7,,2,,0,,0,,3.24,,2.68,,4.55,,,
"(3V23) (618GL) Minneapolis Harmon Place, MN",,639,,639,,100.00%,,0,,0.00%,,633,,4,,2,,0,,0,,0,,0,,1.24,,,,,,,
"(3V23) (618GM) Rice Lake, WI",,673,,642,,95.39%,,31,,4.61%,,552,,47,,43,,16,,8,,6,,1,,6.97,,10.1,,4.94,,,
"(3V23) (618GN) Mankato, MN (Lyle C. Pearson)",,"1,061",,"1,047",,98.68%,,14,,1.32%,,957,,49,,41,,10,,3,,1,,0,,3.42,,8.36,,1.39,,,
"(3V23) (618QA) Fort Snelling, MN",,233,,233,,100.00%,,0,,0.00%,,230,,3,,0,,0,,0,,0,,0,,,,0.26,,,,,
"(3V23) (618QB) Ely, MN",,78,,77,,98.72%,,1,,1.28%,,69,,3,,5,,1,,0,,0,,0,,0.98,,14,,8.41,,,
(3V23) (636A6) Central Iowa HCS,,"22,342",,"20,833",,93.25%,,"1,509",,6.75%,,"18,111",,"1,189",,"1,533",,"1,071",,291,,69,,78,,6.93,,8.35,,6.7,,,
"(3V23) (636A6) Des Moines, IA",,"16,006",,"14,756",,92.19%,,"1,250",,7.81%,,"12,636",,879,,"1,241",,902,,232,,56,,60,,6.63,,8.44,,9.51,,,
"(3V23) (636BU) Des Moines, IA - VADOM",,"1,002",,"1,001",,99.90%,,1,,0.10%,,"1,000",,0,,1,,0,,0,,0,,1,,,,,,,,,
"(3V23) (636GC) Mason City, IA",,"1,694",,"1,511",,89.20%,,183,,10.80%,,"1,301",,94,,116,,106,,51,,11,,15,,14.54,,13.56,,3.87,,,
"(3V23) (636GD) Marshalltown, IA",,670,,651,,97.16%,,19,,2.84%,,545,,51,,55,,15,,3,,1,,0,,4.52,,7.18,,0.69,,,
"(3V23) (636GK) Fort Dodge, IA",,823,,812,,98.66%,,11,,1.34%,,710,,67,,35,,9,,1,,0,,1,,3.47,,3.8,,,,,
"(3V23) (636GM) Carroll, IA",,530,,511,,96.42%,,19,,3.58%,,442,,38,,31,,17,,2,,0,,0,,4.76,,4.14,,3.23,,,
"(3V23) (636GR) Knoxville, IA",,"1,137",,"1,113",,97.89%,,24,,2.11%,,"1,019",,51,,43,,20,,2,,1,,1,,2.56,,5.01,,1.7,,,
"(3V23) (636GX) Fort Dodge North, IA",,182,,182,,100.00%,,0,,0.00%,,178,,2,,2,,0,,0,,0,,0,,,,,,0.68,,,
"(3V23) (636QB) Des Moines Center Street, IA",,298,,296,,99.33%,,2,,0.67%,,280,,7,,9,,2,,0,,0,,0,,,,,,,,,
"(3V23) (636A8) Iowa City, IA HCS",,"26,697",,"24,989",,93.60%,,"1,708",,6.40%,,"21,009",,"1,819",,"2,161",,"1,242",,280,,122,,64,,5.48,,9.78,,4.5,,,
"(3V23) (636A8) Iowa City, IA",,"11,158",,"10,184",,91.27%,,974,,8.73%,,"8,400",,746,,"1,038",,717,,168,,62,,27,,3.6,,10.18,,11.3,,,
"(3V23) (636GF) Quad Cities, IA",,"2,771",,"2,604",,93.97%,,167,,6.03%,,"2,141",,206,,257,,92,,24,,34,,17,,7.91,,13.1,,3.63,,,
"(3V23) (636GG) Quincy, IL",,946,,904,,95.56%,,42,,4.44%,,726,,99,,79,,28,,6,,4,,4,,6.14,,4.32,,9.83,,,
"(3V23) (636GH) Waterloo, IA",,"1,287",,"1,172",,91.06%,,115,,8.94%,,985,,90,,97,,79,,28,,4,,4,,9.99,,5.97,,11.37,,,
"(3V23) (636GI) Galesburg, IL (Lane A. Evans)",,"1,377",,"1,339",,97.24%,,38,,2.76%,,"1,143",,98,,98,,33,,3,,2,,0,,2.84,,6.63,,6.06,,,
"(3V23) (636GJ) Dubuque, IA",,"1,243",,"1,188",,95.58%,,55,,4.42%,,955,,123,,110,,48,,4,,1,,2,,10.12,,1.48,,3.96,,,
"(3V23) (636GN) Cedar Rapids, IA",,"1,577",,"1,535",,97.34%,,42,,2.66%,,"1,381",,91,,63,,32,,6,,1,,3,,3.71,,5.26,,2.78,,,
"(3V23) (636GS) Ottumwa, IA",,639,,636,,99.53%,,3,,0.47%,,582,,41,,13,,3,,0,,0,,0,,3.05,,1.42,,2.9,,,
"(3V23) (636GT) Sterling, IL",,690,,679,,98.41%,,11,,1.59%,,604,,52,,23,,5,,2,,3,,1,,1.77,,6.32,,1.22,,,
"(3V23) (636GU) Decorah, IA",,484,,480,,99.17%,,4,,0.83%,,432,,33,,15,,4,,0,,0,,0,,2.2,,2.75,,2.27,,,
"(3V23) (636GW) Coralville, IA",,"2,199",,"2,163",,98.36%,,36,,1.64%,,"2,076",,55,,32,,25,,8,,3,,0,,2.24,,0.71,,2.29,,,
"(3V23) (636QC) Linn County, IA",,30,,29,,96.67%,,1,,3.33%,,29,,0,,0,,0,,0,,1,,0,,,,,,3.93,,,
"(3V23) (636QG) Iowa City, IA - Mobile",,81,,47,,58.02%,,34,,41.98%,,38,,0,,9,,26,,8,,0,,0,,,,24.47,,,,,
"(3V23) (636QI) Davenport, IA",,317,,314,,99.05%,,3,,0.95%,,276,,30,,8,,2,,1,,0,,0,,,,,,3.77,,,
"(3V23) (636QJ) Iowa City South Clinton Street, IA",,"1,898",,"1,715",,90.36%,,183,,9.64%,,"1,241",,155,,319,,148,,22,,7,,6,,,,12.53,,11.15,,,
(3V23) (636) Nebraska-W Iowa HCS,,"40,753",,"39,166",,96.11%,,"1,587",,3.89%,,"34,972",,"2,148",,"2,046",,"1,088",,293,,137,,69,,4.53,,6.24,,5.28,,,
"(3V23) (636) Omaha, NE",,"20,352",,"19,370",,95.17%,,982,,4.83%,,"17,026",,"1,193",,"1,151",,618,,228,,93,,43,,4.09,,6.88,,7.25,,,
"(3V23) (636A4) Grand Island, NE",,"6,570",,"6,476",,98.57%,,94,,1.43%,,"5,886",,307,,283,,80,,6,,5,,3,,3.02,,3.11,,2.62,,,
"(3V23) (636A5) Lincoln, NE",,"7,842",,"7,424",,94.67%,,418,,5.33%,,"6,720",,313,,391,,332,,39,,36,,11,,7.23,,7.36,,5,,,
"(3V23) (636BW) Grand Island, NE - VADOM",,482,,482,,100.00%,,0,,0.00%,,481,,0,,1,,0,,0,,0,,0,,,,,,0,,,
"(3V23) (636BX) Omaha, NE - VADOM",,456,,455,,99.78%,,1,,0.22%,,452,,3,,0,,0,,0,,0,,1,,,,,,,,,
"(3V23) (636GA) Norfolk, NE",,"1,004",,990,,98.61%,,14,,1.39%,,872,,72,,46,,9,,3,,0,,2,,2.4,,3.63,,3.45,,,
"(3V23) (636GB) North Platte, NE",,843,,822,,97.51%,,21,,2.49%,,706,,69,,47,,15,,4,,1,,1,,3.9,,5.55,,4.09,,,
"(3V23) (636GL) Bellevue, NE",,"1,282",,"1,256",,97.97%,,26,,2.03%,,"1,054",,119,,83,,12,,7,,1,,6,,6.01,,4.6,,0,,,
"(3V23) (636GP) Shenandoah, IA",,497,,474,,95.37%,,23,,4.63%,,414,,35,,25,,17,,4,,1,,1,,5.95,,5.19,,2.74,,,
"(3V23) (636GQ) Holdrege, NE",,473,,465,,98.31%,,8,,1.69%,,418,,31,,16,,5,,2,,0,,1,,1.76,,5.68,,4.45,,,
"(3V23) (636GV) ONeill, NE (ONeill)",,25,,25,,100.00%,,0,,0.00%,,25,,0,,0,,0,,0,,0,,0,,0.96,,,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(3V23) (636QA) Omaha Dorcas Street, NE",,927,,927,,100.00%,,0,,0.00%,,918,,6,,3,,0,,0,,0,,0,,,,,,,,,
"(3V23) (656) St. Cloud, MN HCS",,"33,226",,"31,928",,96.09%,,"1,298",,3.91%,,"28,724",,"1,578",,"1,626",,"1,064",,166,,47,,21,,4.74,,7.72,,5.07,,,
"(3V23) (656) St. Cloud, MN",,"28,708",,"27,710",,96.52%,,998,,3.48%,,"25,107",,"1,265",,"1,338",,863,,101,,20,,14,,4.23,,7.09,,4.61,,,
"(3V23) (6569AA) St. Cloud, MN - CLC",,1,,1,,100.00%,,0,,0.00%,,0,,0,,1,,0,,0,,0,,0,,,,,,,,,
"(3V23) (656GA) Brainerd, MN",,"2,710",,"2,446",,90.26%,,264,,9.74%,,"2,003",,233,,210,,177,,54,,26,,7,,8.01,,13.62,,10.38,,,
"(3V23) (656GB) Montevideo, MN",,794,,765,,96.35%,,29,,3.65%,,664,,49,,52,,21,,7,,1,,0,,4.48,,15.44,,3.5,,,
"(3V23) (656GC) Alexandria, MN (Max J. Beilke)",,"1,013",,"1,006",,99.31%,,7,,0.69%,,950,,31,,25,,3,,4,,0,,0,,1.25,,5.62,,4.68,,,
Retrospective/Completed Appointment Wait Times National Summary.,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,Completed 0-7 Days 6,,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120 Days
11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,,
National:  1/2020,"5,165,479",,"4,856,880",,94.03%,,"308,599",,5.97%,,"4,237,669",,"288,498",,"330,713",,"207,937",,"59,175",,"21,562",,"19,925",,4.96,,9.21,,4.87,,,,
National:  12/2019,"4,601,422",,"4,358,161",,94.71%,,"243,261",,5.29%,,"3,818,636",,"256,694",,"282,831",,"166,331",,"46,358",,"15,903",,"14,669",,4.41,,8.35,,4.28,,,,
National:  11/2019,"4,578,348",,"4,350,292",,95.02%,,"228,056",,4.98%,,"3,818,646",,"251,802",,"279,844",,"157,343",,"41,543",,"14,939",,"14,231",,4.35,,8.13,,4.04,,,,
National:  10/2019,"5,476,901",,"5,218,942",,95.29%,,"257,959",,4.71%,,"4,578,802",,"302,309",,"337,831",,"175,232",,"48,131",,"16,756",,"17,840",,4.09,,8.04,,4.1,,,,
National:  9/2019,"4,903,146",,"4,657,948",,95.00%,,"245,198",,5.00%,,"4,085,828",,"272,832",,"299,288",,"167,027",,"43,875",,"17,282",,"17,014",,4.46,,8.32,,4.07,,,,
National:  8/2019,"5,142,001",,"4,883,145",,94.97%,,"258,856",,5.03%,,"4,274,706",,"286,387",,"322,052",,"170,093",,"52,187",,"19,415",,"17,161",,4.64,,8.42,,3.97,,,,
National:  7/2019,"5,071,250",,"4,799,635",,94.64%,,"271,615",,5.36%,,"4,192,918",,"282,226",,"324,491",,"182,943",,"53,061",,"18,868",,"16,743",,4.8,,8.74,,4.09,,,,
National:  6/2019,"4,789,731",,"4,538,793",,94.76%,,"250,938",,5.24%,,"3,977,841",,"260,295",,"300,657",,"172,742",,"45,901",,"16,937",,"15,358",,4.7,,8.52,,3.88,,,,
National:  5/2019,"5,277,559",,"5,015,534",,95.04%,,"262,025",,4.96%,,"4,393,421",,"287,222",,"334,891",,"177,105",,"50,668",,"17,731",,"16,521",,4.69,,8.32,,3.75,,,,
National:  4/2019,"5,368,047",,"5,092,381",,94.86%,,"275,666",,5.14%,,"4,476,507",,"283,397",,"332,477",,"188,584",,"51,658",,"16,639",,"18,785",,4.68,,8.38,,3.88,,,,
National:  3/2019,"5,059,805",,"4,803,023",,94.93%,,"256,782",,5.07%,,"4,205,253",,"277,596",,"320,174",,"174,117",,"46,852",,"18,125",,"17,688",,4.77,,8.56,,4.14,,,,
National:  2/2019,"4,600,823",,"4,366,353",,94.90%,,"234,470",,5.10%,,"3,827,731",,"249,612",,"289,010",,"150,691",,"49,415",,"17,543",,"16,821",,4.83,,8.73,,4.24,,,,
National:  1/2019,"5,108,202",,"4,801,799",,94.00%,,"306,403",,6.00%,,"4,195,520",,"280,352",,"325,927",,"204,114",,"60,695",,"21,321",,"20,273",,5.24,,9.54,,4.74,,,,
National:  12/2018,"4,335,282",,"4,102,439",,94.63%,,"232,843",,5.37%,,"3,607,832",,"228,768",,"265,839",,"159,488",,"44,936",,"15,453",,"12,966",,4.63,,8.57,,4.12,,,,
National:  11/2018,"4,690,193",,"4,449,203",,94.86%,,"240,990",,5.14%,,"3,882,470",,"266,562",,"300,171",,"166,691",,"45,547",,"15,273",,"13,479",,4.65,,8.47,,4.07,,,,
National:  10/2018,"5,445,006",,"5,176,398",,95.07%,,"268,608",,4.93%,,"4,536,327",,"295,900",,"344,171",,"184,792",,"51,391",,"16,658",,"15,767",,4.18,,8.37,,4.07,,,,
National:  9/2018,"4,566,797",,"4,338,809",,95.01%,,"227,988",,4.99%,,"3,800,835",,"251,499",,"286,475",,"157,889",,"41,605",,"15,126",,"13,368",,4.61,,8.29,,3.93,,,,
National:  8/2018,"5,279,524",,"5,011,824",,94.93%,,"267,700",,5.07%,,"4,377,429",,"293,294",,"341,101",,"182,775",,"52,786",,"17,669",,"14,470",,4.79,,8.38,,3.92,,,,
National:  7/2018,"4,747,954",,"4,505,574",,94.90%,,"242,380",,5.10%,,"3,934,727",,"264,214",,"306,633",,"170,580",,"45,710",,"14,696",,"11,394",,4.84,,8.46,,3.86,,,,
National:  6/2018,"4,853,183",,"4,619,315",,95.18%,,"233,868",,4.82%,,"4,050,519",,"266,086",,"302,710",,"168,788",,"40,553",,"13,984",,"10,543",,4.54,,8.03,,3.72,,,,
National:  5/2018,"5,180,072",,"4,956,277",,95.68%,,"223,795",,4.32%,,"4,343,790",,"284,753",,"327,734",,"159,692",,"41,639",,"12,163",,"10,301",,4.45,,7.65,,3.5,,,,
National:  4/2018,"4,965,149",,"4,753,296",,95.73%,,"211,853",,4.27%,,"4,179,992",,"266,804",,"306,500",,"155,252",,"36,944",,"10,099",,"9,558",,4.44,,7.4,,3.33,,,,
National:  3/2018,"5,073,154",,"4,872,259",,96.04%,,"200,895",,3.96%,,"4,277,432",,"279,377",,"315,450",,"147,886",,"32,665",,"11,197",,"9,147",,4.42,,7.16,,3.32,,,,
National:  2/2018,"4,506,205",,"4,334,360",,96.19%,,"171,845",,3.81%,,"3,826,183",,"244,045",,"264,132",,"119,946",,"33,593",,"10,656",,"7,650",,4.12,,6.91,,3.13,,,,
National:  1/2018,"4,837,845",,"4,618,600",,95.47%,,"219,245",,4.53%,,"4,059,570",,"265,931",,"293,099",,"157,460",,"40,293",,"12,832",,"8,660",,4.63,,7.75,,3.53,,,,
National:  12/2017,"4,301,041",,"4,128,041",,95.98%,,"173,000",,4.02%,,"3,651,327",,"226,912",,"249,802",,"125,267",,"32,193",,"9,900",,"5,640",,4.29,,7.03,,3.05,,,,
National:  11/2017,"4,711,170",,"4,527,520",,96.10%,,"183,650",,3.90%,,"3,980,125",,"264,048",,"283,347",,"136,453",,"32,245",,"9,473",,"5,479",,4.28,,6.98,,3.02,,,,
National:  10/2017,"5,043,703",,"4,857,831",,96.31%,,"185,872",,3.69%,,"4,279,916",,"272,998",,"304,917",,"138,245",,"33,162",,"8,735",,"5,730",,3.94,,6.84,,2.97,,,,
National:  9/2017,"4,552,842",,"4,383,140",,96.27%,,"169,702",,3.73%,,"3,859,133",,"252,939",,"271,068",,"129,865",,"27,032",,"7,916",,"4,889",,4.23,,6.75,,2.84,,,,
National:  8/2017,"5,236,501",,"5,045,457",,96.35%,,"191,044",,3.65%,,"4,431,492",,"295,549",,"318,416",,"141,666",,"34,464",,"9,422",,"5,492",,4.38,,6.64,,2.83,,,,
National:  7/2017,"4,504,077",,"4,341,092",,96.38%,,"162,985",,3.62%,,"3,818,506",,"253,331",,"269,255",,"121,618",,"28,818",,"7,848",,"4,701",,4.35,,6.62,,2.86,,,,
National:  6/2017,"5,050,626",,"4,874,656",,96.52%,,"175,970",,3.48%,,"4,297,459",,"279,344",,"297,853",,"133,244",,"29,019",,"8,821",,"4,886",,4.28,,6.39,,2.76,,,,
National:  5/2017,"5,186,397",,"5,022,137",,96.83%,,"164,260",,3.17%,,"4,437,304",,"281,998",,"302,835",,"121,937",,"29,569",,"8,075",,"4,679",,4.2,,6.11,,2.53,,,,
National:  4/2017,"4,709,974",,"4,560,211",,96.82%,,"149,763",,3.18%,,"4,039,481",,"251,794",,"268,936",,"112,230",,"25,829",,"6,699",,"5,005",,4.15,,6.11,,2.5,,,,
National:  3/2017,"5,323,093",,"5,153,653",,96.82%,,"169,440",,3.18%,,"4,539,403",,"297,735",,"316,515",,"125,874",,"28,829",,"8,823",,"5,914",,4.17,,6.27,,2.61,,,,
National:  2/2017,"4,530,060",,"4,385,617",,96.81%,,"144,443",,3.19%,,"3,883,444",,"251,092",,"251,081",,"101,681",,"28,558",,"8,742",,"5,462",,4.16,,6.35,,2.6,,,,
National:  1/2017,"4,709,148",,"4,527,353",,96.14%,,"181,795",,3.86%,,"3,990,589",,"264,579",,"272,185",,"130,911",,"34,283",,"10,431",,"6,170",,4.67,,7,,2.93,,,,
National:  12/2016,"4,430,678",,"4,273,719",,96.46%,,"156,959",,3.54%,,"3,791,184",,"236,096",,"246,439",,"112,762",,"30,776",,"8,531",,"4,890",,4.37,,6.53,,2.67,,,,
National:  11/2016,"4,600,860",,"4,440,178",,96.51%,,"160,682",,3.49%,,"3,928,442",,"251,034",,"260,702",,"117,792",,"29,777",,"8,512",,"4,601",,4.41,,6.45,,2.67,,,,
National:  10/2016,"4,695,677",,"4,536,753",,96.62%,,"158,924",,3.38%,,"4,020,117",,"250,143",,"266,493",,"116,256",,"29,936",,"8,305",,"4,427",,4.17,,6.49,,2.62,,,,
National:  9/2016,"4,880,317",,"4,708,924",,96.49%,,"171,393",,3.51%,,"4,157,090",,"273,423",,"278,411",,"125,321",,"31,908",,"9,301",,"4,863",,4.44,,6.52,,2.67,,,,
National:  8/2016,"5,219,984",,"5,027,900",,96.32%,,"192,084",,3.68%,,"4,431,252",,"289,612",,"307,036",,"137,388",,"39,015",,"10,731",,"4,950",,4.71,,6.68,,2.75,,,,
National:  7/2016,"4,438,995",,"4,277,326",,96.36%,,"161,669",,3.64%,,"3,775,216",,"244,855",,"257,255",,"117,121",,"32,674",,"7,973",,"3,901",,4.72,,6.6,,2.77,,,,
National:  6/2016,"4,989,814",,"4,810,457",,96.41%,,"179,357",,3.59%,,"4,249,171",,"274,867",,"286,419",,"132,472",,"33,940",,"8,667",,"4,278",,4.66,,6.45,,2.76,,,,
National:  5/2016,"4,877,166",,"4,716,541",,96.71%,,"160,625",,3.29%,,"4,176,545",,"265,421",,"274,575",,"116,939",,"31,182",,"8,061",,"4,443",,4.57,,6.16,,2.51,,,,
National:  4/2016,"4,931,526",,"4,764,941",,96.62%,,"166,585",,3.38%,,"4,235,062",,"260,000",,"269,879",,"123,402",,"31,352",,"6,895",,"4,936",,4.68,,6.19,,2.43,,,,
National:  3/2016,"5,353,597",,"5,177,734",,96.72%,,"175,863",,3.28%,,"4,592,329",,"286,950",,"298,455",,"128,719",,"32,444",,"8,996",,"5,704",,4.66,,6.13,,2.64,,,,
National:  2/2016,"4,744,626",,"4,576,434",,96.46%,,"168,192",,3.54%,,"4,058,457",,"248,628",,"269,349",,"115,206",,"38,428",,"9,410",,"5,148",,4.92,,6.44,,3.03,,,,
National:  1/2016,"4,497,268",,"4,309,895",,95.83%,,"187,373",,4.17%,,"3,833,679",,"234,543",,"241,673",,"130,990",,"41,268",,"10,030",,"5,085",,5.2,,6.9,,3.29,,,,
National:  12/2015,"4,672,667",,"4,493,236",,96.16%,,"179,431",,3.84%,,"3,996,052",,"243,148",,"254,036",,"128,757",,"37,495",,"9,077",,"4,102",,4.87,,6.44,,3.03,,,,
National:  11/2015,"4,388,187",,"4,228,217",,96.35%,,"159,970",,3.65%,,"3,767,085",,"223,891",,"237,241",,"117,739",,"31,389",,"7,526",,"3,316",,4.57,,6.28,,3.03,,,,
National:  10/2015,"4,966,790",,"4,804,228",,96.73%,,"162,562",,3.27%,,"4,300,175",,"242,986",,"261,067",,"119,186",,"32,079",,"7,643",,"3,654",,4.01,,6.03,,3.02,,,,
National:  9/2015,"4,883,045",,"4,721,707",,96.70%,,"161,338",,3.30%,,"4,221,358",,"247,570",,"252,779",,"119,391",,"30,631",,"7,996",,"3,320",,4.37,,5.81,,3.07,,,,
